Date,Time,Rainfall (inches),Temperature (F)
10/28/2022,3:15:00 PM,0,57.2
10/28/2022,3:30:00 PM,0,56.4
10/28/2022,3:45:00 PM,0,55.8
10/28/2022,4:00:00 PM,0,55.4
10/28/2022,4:15:00 PM,0,55.3
10/28/2022,4:30:00 PM,0,54.7
10/28/2022,4:45:00 PM,0,54
10/28/2022,5:00:00 PM,0,52.7
10/28/2022,5:15:00 PM,0,51.7
10/28/2022,5:30:00 PM,0,50.3
10/28/2022,5:45:00 PM,0,49.3
10/28/2022,6:00:00 PM,0,48.5
10/28/2022,6:15:00 PM,0,47.8
10/28/2022,6:30:00 PM,0,47.3
10/28/2022,6:45:00 PM,0,47.3
10/28/2022,7:00:00 PM,0,47.2
10/28/2022,7:15:00 PM,0,46.8
10/28/2022,7:30:00 PM,0,47.4
10/28/2022,7:45:00 PM,0,47.6
10/28/2022,8:00:00 PM,0,47.3
10/28/2022,8:15:00 PM,0,47.3
10/28/2022,8:30:00 PM,0,48.4
10/28/2022,8:45:00 PM,0,49
10/28/2022,9:00:00 PM,0,49.2
10/28/2022,9:15:00 PM,0,49.6
10/28/2022,9:30:00 PM,0,49.3
10/28/2022,9:45:00 PM,0,48.9
10/28/2022,10:00:00 PM,0,48.2
10/28/2022,10:15:00 PM,0,47.1
10/28/2022,10:30:00 PM,0,46.3
10/28/2022,10:45:00 PM,0,46.2
10/28/2022,11:00:00 PM,0,46.4
10/28/2022,11:15:00 PM,0,46.8
10/28/2022,11:30:00 PM,0,46
10/28/2022,11:45:00 PM,0,45.6
10/29/2022,12:00:00 AM,0,45.2
10/29/2022,12:15:00 AM,0,45.1
10/29/2022,12:30:00 AM,0,46.5
10/29/2022,12:45:00 AM,0,47.9
10/29/2022,1:00:00 AM,0,47.9
10/29/2022,1:15:00 AM,0,48.5
10/29/2022,1:30:00 AM,0,47.7
10/29/2022,1:45:00 AM,0,47.3
10/29/2022,2:00:00 AM,0,47.9
10/29/2022,2:15:00 AM,0,47.2
10/29/2022,2:30:00 AM,0.01,46.9
10/29/2022,2:45:00 AM,0,47.1
10/29/2022,3:00:00 AM,0,46.7
10/29/2022,3:15:00 AM,0,46.8
10/29/2022,3:30:00 AM,0,46.9
10/29/2022,3:45:00 AM,0,47.2
10/29/2022,4:00:00 AM,0,47.1
10/29/2022,4:15:00 AM,0,46.8
10/29/2022,4:30:00 AM,0,45.9
10/29/2022,4:45:00 AM,0,45.9
10/29/2022,5:00:00 AM,0,46.3
10/29/2022,5:15:00 AM,0,46.2
10/29/2022,5:30:00 AM,0,46
10/29/2022,5:45:00 AM,0,46.8
10/29/2022,6:00:00 AM,0,45.2
10/29/2022,6:15:00 AM,0,45.8
10/29/2022,6:30:00 AM,0,46.2
10/29/2022,6:45:00 AM,0,46.9
10/29/2022,7:00:00 AM,0,47.4
10/29/2022,7:15:00 AM,0,47.8
10/29/2022,7:30:00 AM,0,48.1
10/29/2022,7:45:00 AM,0,47.7
10/29/2022,8:00:00 AM,0,48
10/29/2022,8:15:00 AM,0,47.8
10/29/2022,8:30:00 AM,0,48.3
10/29/2022,8:45:00 AM,0,48.7
10/29/2022,9:00:00 AM,0,48.8
10/29/2022,9:15:00 AM,0,48.9
10/29/2022,9:30:00 AM,0,49
10/29/2022,9:45:00 AM,0,49.3
10/29/2022,10:00:00 AM,0,49.6
10/29/2022,10:15:00 AM,0,50
10/29/2022,10:30:00 AM,0,50
10/29/2022,10:45:00 AM,0,50.4
10/29/2022,11:00:00 AM,0,50.9
10/29/2022,11:15:00 AM,0,52
10/29/2022,11:30:00 AM,0,53.6
10/29/2022,11:45:00 AM,0,54
10/29/2022,12:00:00 PM,0,54.7
10/29/2022,12:15:00 PM,0,55.2
10/29/2022,12:30:00 PM,0,55.9
10/29/2022,12:45:00 PM,0,55.9
10/29/2022,1:00:00 PM,0,56.5
10/29/2022,1:15:00 PM,0,56.2
10/29/2022,1:30:00 PM,0,56.9
10/29/2022,1:45:00 PM,0,57.7
10/29/2022,2:00:00 PM,0,59.9
10/29/2022,2:15:00 PM,0,60.7
10/29/2022,2:30:00 PM,0,59.8
10/29/2022,2:45:00 PM,0,59.4
10/29/2022,3:00:00 PM,0,58.9
10/29/2022,3:15:00 PM,0,59.3
10/29/2022,3:30:00 PM,0,59.1
10/29/2022,3:45:00 PM,0,58.5
10/29/2022,4:00:00 PM,0,58.5
10/29/2022,4:15:00 PM,0,58.2
10/29/2022,4:30:00 PM,0,57.4
10/29/2022,4:45:00 PM,0,56.2
10/29/2022,5:00:00 PM,0,55.3
10/29/2022,5:15:00 PM,0,54.8
10/29/2022,5:30:00 PM,0,54.3
10/29/2022,5:45:00 PM,0,53.5
10/29/2022,6:00:00 PM,0,52.2
10/29/2022,6:15:00 PM,0,51.2
10/29/2022,6:30:00 PM,0,51.3
10/29/2022,6:45:00 PM,0,51.4
10/29/2022,7:00:00 PM,0,51.8
10/29/2022,7:15:00 PM,0,52
10/29/2022,7:30:00 PM,0,52.6
10/29/2022,7:45:00 PM,0,52.9
10/29/2022,8:00:00 PM,0,52.1
10/29/2022,8:15:00 PM,0,51.8
10/29/2022,8:30:00 PM,0,52.9
10/29/2022,8:45:00 PM,0,52.6
10/29/2022,9:00:00 PM,0,53.2
10/29/2022,9:15:00 PM,0,53.4
10/29/2022,9:30:00 PM,0,52.7
10/29/2022,9:45:00 PM,0,52.3
10/29/2022,10:00:00 PM,0,51.8
10/29/2022,10:15:00 PM,0,51.3
10/29/2022,10:30:00 PM,0,51.5
10/29/2022,10:45:00 PM,0,51.9
10/29/2022,11:00:00 PM,0,51.5
10/29/2022,11:15:00 PM,0,51
10/29/2022,11:30:00 PM,0,50.8
10/29/2022,11:45:00 PM,0,51.7
10/30/2022,12:00:00 AM,0,54.3
10/30/2022,12:15:00 AM,0,54.4
10/30/2022,12:30:00 AM,0,54.6
10/30/2022,12:45:00 AM,0,54.4
10/30/2022,1:00:00 AM,0,53.7
10/30/2022,1:15:00 AM,0,54.3
10/30/2022,1:30:00 AM,0,53.5
10/30/2022,1:45:00 AM,0,54.2
10/30/2022,2:00:00 AM,0,52.7
10/30/2022,2:15:00 AM,0,52.8
10/30/2022,2:30:00 AM,0,51.7
10/30/2022,2:45:00 AM,0,52.4
10/30/2022,3:00:00 AM,0,52.4
10/30/2022,3:15:00 AM,0,52.7
10/30/2022,3:30:00 AM,0,52.7
10/30/2022,3:45:00 AM,0,53
10/30/2022,4:00:00 AM,0,52.2
10/30/2022,4:15:00 AM,0,52.6
10/30/2022,4:30:00 AM,0,53.2
10/30/2022,4:45:00 AM,0,54
10/30/2022,5:00:00 AM,0,54.2
10/30/2022,5:15:00 AM,0,54.5
10/30/2022,5:30:00 AM,0,54.3
10/30/2022,5:45:00 AM,0,53.8
10/30/2022,6:00:00 AM,0,53.3
10/30/2022,6:15:00 AM,0,52.7
10/30/2022,6:30:00 AM,0,51.6
10/30/2022,6:45:00 AM,0,50.4
10/30/2022,7:00:00 AM,0,50
10/30/2022,7:15:00 AM,0,49.8
10/30/2022,7:30:00 AM,0,50.1
10/30/2022,7:45:00 AM,0,49.6
10/30/2022,8:00:00 AM,0,50.1
10/30/2022,8:15:00 AM,0,49.8
10/30/2022,8:30:00 AM,0,50
10/30/2022,8:45:00 AM,0,50
10/30/2022,9:00:00 AM,0,49.9
10/30/2022,9:15:00 AM,0,50.1
10/30/2022,9:30:00 AM,0,50
10/30/2022,9:45:00 AM,0,50.3
10/30/2022,10:00:00 AM,0,50.5
10/30/2022,10:15:00 AM,0,50.2
10/30/2022,10:30:00 AM,0,50.3
10/30/2022,10:45:00 AM,0.01,50.3
10/30/2022,11:00:00 AM,0,51.1
10/30/2022,11:15:00 AM,0,50.4
10/30/2022,11:30:00 AM,0,50.3
10/30/2022,11:45:00 AM,0,50.3
10/30/2022,12:00:00 PM,0,50.7
10/30/2022,12:15:00 PM,0,50.4
10/30/2022,12:30:00 PM,0,50.8
10/30/2022,12:45:00 PM,0,50.7
10/30/2022,1:00:00 PM,0,50.7
10/30/2022,1:15:00 PM,0,50.6
10/30/2022,1:30:00 PM,0,50.5
10/30/2022,1:45:00 PM,0,50.7
10/30/2022,2:00:00 PM,0,50.9
10/30/2022,2:15:00 PM,0,51.2
10/30/2022,2:30:00 PM,0,51.2
10/30/2022,2:45:00 PM,0,51.1
10/30/2022,3:00:00 PM,0,50.9
10/30/2022,3:15:00 PM,0,50.9
10/30/2022,3:30:00 PM,0,50.8
10/30/2022,3:45:00 PM,0,50.8
10/30/2022,4:00:00 PM,0,50.6
10/30/2022,4:15:00 PM,0,50.6
10/30/2022,4:30:00 PM,0,50.6
10/30/2022,4:45:00 PM,0,50.6
10/30/2022,5:00:00 PM,0,50.4
10/30/2022,5:15:00 PM,0,50.3
10/30/2022,5:30:00 PM,0,50.3
10/30/2022,5:45:00 PM,0,50.3
10/30/2022,6:00:00 PM,0,50.3
10/30/2022,6:15:00 PM,0,50.1
10/30/2022,6:30:00 PM,0,50
10/30/2022,6:45:00 PM,0,49.9
10/30/2022,7:00:00 PM,0,49.9
10/30/2022,7:15:00 PM,0,49.8
10/30/2022,7:30:00 PM,0,49.7
10/30/2022,7:45:00 PM,0,49.6
10/30/2022,8:00:00 PM,0,49.6
10/30/2022,8:15:00 PM,0,49.5
10/30/2022,8:30:00 PM,0,49.3
10/30/2022,8:45:00 PM,0,49.2
10/30/2022,9:00:00 PM,0,49
10/30/2022,9:15:00 PM,0,48.7
10/30/2022,9:30:00 PM,0,48.6
10/30/2022,9:45:00 PM,0.01,48.5
10/30/2022,10:00:00 PM,0,48.5
10/30/2022,10:15:00 PM,0,48.6
10/30/2022,10:30:00 PM,0,48.7
10/30/2022,10:45:00 PM,0,48.8
10/30/2022,11:00:00 PM,0,48.9
10/30/2022,11:15:00 PM,0,48.8
10/30/2022,11:30:00 PM,0,48.8
10/30/2022,11:45:00 PM,0,48.7
10/31/2022,12:00:00 AM,0,48.6
10/31/2022,12:15:00 AM,0,48.7
10/31/2022,12:30:00 AM,0,48.7
10/31/2022,12:45:00 AM,0,48.6
10/31/2022,1:00:00 AM,0,48.4
10/31/2022,1:15:00 AM,0,48
10/31/2022,1:30:00 AM,0,47.9
10/31/2022,1:45:00 AM,0,47.9
10/31/2022,2:00:00 AM,0,47.9
10/31/2022,2:15:00 AM,0,47.9
10/31/2022,2:30:00 AM,0,47.9
10/31/2022,2:45:00 AM,0,47.9
10/31/2022,3:00:00 AM,0,47.8
10/31/2022,3:15:00 AM,0,47.7
10/31/2022,3:30:00 AM,0,47.7
10/31/2022,3:45:00 AM,0,47.9
10/31/2022,4:00:00 AM,0,47.6
10/31/2022,4:15:00 AM,0,47.3
10/31/2022,4:30:00 AM,0,47.5
10/31/2022,4:45:00 AM,0,47.5
10/31/2022,5:00:00 AM,0,47.5
10/31/2022,5:15:00 AM,0,47.8
10/31/2022,5:30:00 AM,0,46.9
10/31/2022,5:45:00 AM,0,47.2
10/31/2022,6:00:00 AM,0,47.9
10/31/2022,6:15:00 AM,0,47.6
10/31/2022,6:30:00 AM,0,47.5
10/31/2022,6:45:00 AM,0,47.7
10/31/2022,7:00:00 AM,0,47.7
10/31/2022,7:15:00 AM,0,47.7
10/31/2022,7:30:00 AM,0,47.8
10/31/2022,7:45:00 AM,0,48.3
10/31/2022,8:00:00 AM,0,48.5
10/31/2022,8:15:00 AM,0,48.8
10/31/2022,8:30:00 AM,0,49.4
10/31/2022,8:45:00 AM,0,49.5
10/31/2022,9:00:00 AM,0,49.7
10/31/2022,9:15:00 AM,0,50.1
10/31/2022,9:30:00 AM,0,51
10/31/2022,9:45:00 AM,0,51.3
10/31/2022,10:00:00 AM,0,51
10/31/2022,10:15:00 AM,0,51.4
10/31/2022,10:30:00 AM,0,51.8
10/31/2022,10:45:00 AM,0,51.4
10/31/2022,11:00:00 AM,0,51.1
10/31/2022,11:15:00 AM,0,49.9
10/31/2022,11:30:00 AM,0,49.6
10/31/2022,11:45:00 AM,0,49.5
10/31/2022,12:00:00 PM,0,49.3
10/31/2022,12:15:00 PM,0,49.3
10/31/2022,12:30:00 PM,0,49.7
10/31/2022,12:45:00 PM,0,50.1
10/31/2022,1:00:00 PM,0,49.9
10/31/2022,1:15:00 PM,0,50
10/31/2022,1:30:00 PM,0,50.4
10/31/2022,1:45:00 PM,0,50.1
10/31/2022,2:00:00 PM,0,50.1
10/31/2022,2:15:00 PM,0,50.3
10/31/2022,2:30:00 PM,0,49.7
10/31/2022,2:45:00 PM,0,49.9
10/31/2022,3:00:00 PM,0,50
10/31/2022,3:15:00 PM,0,50
10/31/2022,3:30:00 PM,0,49.9
10/31/2022,3:45:00 PM,0,49.8
10/31/2022,4:00:00 PM,0,49.5
10/31/2022,4:15:00 PM,0,49.6
10/31/2022,4:30:00 PM,0,49.4
10/31/2022,4:45:00 PM,0,48.9
10/31/2022,5:00:00 PM,0,48.6
10/31/2022,5:15:00 PM,0,48.1
10/31/2022,5:30:00 PM,0,48.3
10/31/2022,5:45:00 PM,0,47.9
10/31/2022,6:00:00 PM,0,47.5
10/31/2022,6:15:00 PM,0,47.2
10/31/2022,6:30:00 PM,0,47
10/31/2022,6:45:00 PM,0,46.7
10/31/2022,7:00:00 PM,0,46.1
10/31/2022,7:15:00 PM,0,45.8
10/31/2022,7:30:00 PM,0,45.3
10/31/2022,7:45:00 PM,0,45.5
10/31/2022,8:00:00 PM,0,45.2
10/31/2022,8:15:00 PM,0,44.3
10/31/2022,8:30:00 PM,0,43.8
10/31/2022,8:45:00 PM,0,43.6
10/31/2022,9:00:00 PM,0,43.4
10/31/2022,9:15:00 PM,0,43.2
10/31/2022,9:30:00 PM,0,43
10/31/2022,9:45:00 PM,0,42.7
10/31/2022,10:00:00 PM,0,42.5
10/31/2022,10:15:00 PM,0,42.5
10/31/2022,10:30:00 PM,0,42.4
10/31/2022,10:45:00 PM,0,42.3
10/31/2022,11:00:00 PM,0,42.4
10/31/2022,11:15:00 PM,0,42.9
10/31/2022,11:30:00 PM,0,42.8
10/31/2022,11:45:00 PM,0,42.2
11/1/2022,12:00:00 AM,0,42.6
11/1/2022,12:15:00 AM,0,42.1
11/1/2022,12:30:00 AM,0,42.2
11/1/2022,12:45:00 AM,0,41.7
11/1/2022,1:00:00 AM,0,41.4
11/1/2022,1:15:00 AM,0,41.3
11/1/2022,1:30:00 AM,0,41.5
11/1/2022,1:45:00 AM,0,41.4
11/1/2022,2:00:00 AM,0,41.5
11/1/2022,2:15:00 AM,0,41.6
11/1/2022,2:30:00 AM,0,41.4
11/1/2022,2:45:00 AM,0,41.4
11/1/2022,3:00:00 AM,0,41.5
11/1/2022,3:15:00 AM,0,41.5
11/1/2022,3:30:00 AM,0,41.3
11/1/2022,3:45:00 AM,0,41
11/1/2022,4:00:00 AM,0,40.8
11/1/2022,4:15:00 AM,0,40
11/1/2022,4:30:00 AM,0,39.2
11/1/2022,4:45:00 AM,0,39
11/1/2022,5:00:00 AM,0,39.2
11/1/2022,5:15:00 AM,0,38.8
11/1/2022,5:30:00 AM,0,38.9
11/1/2022,5:45:00 AM,0,38.7
11/1/2022,6:00:00 AM,0,38.5
11/1/2022,6:15:00 AM,0,38.4
11/1/2022,6:30:00 AM,0,38.3
11/1/2022,6:45:00 AM,0,38.2
11/1/2022,7:00:00 AM,0,38.2
11/1/2022,7:15:00 AM,0,38.2
11/1/2022,7:30:00 AM,0,38.2
11/1/2022,7:45:00 AM,0,38.1
11/1/2022,8:00:00 AM,0,37.9
11/1/2022,8:15:00 AM,0,37.8
11/1/2022,8:30:00 AM,0,37.9
11/1/2022,8:45:00 AM,0,38.3
11/1/2022,9:00:00 AM,0,39
11/1/2022,9:15:00 AM,0,39.2
11/1/2022,9:30:00 AM,0,39.5
11/1/2022,9:45:00 AM,0,40.5
11/1/2022,10:00:00 AM,0,40.7
11/1/2022,10:15:00 AM,0,41.3
11/1/2022,10:30:00 AM,0,41.9
11/1/2022,10:45:00 AM,0,42.4
11/1/2022,11:00:00 AM,0,42.9
11/1/2022,11:15:00 AM,0,43.3
11/1/2022,11:30:00 AM,0,43.9
11/1/2022,11:45:00 AM,0,44.2
11/1/2022,12:00:00 PM,0,45.6
11/1/2022,12:15:00 PM,0,46.5
11/1/2022,12:30:00 PM,0,46.8
11/1/2022,12:45:00 PM,0,47.3
11/1/2022,1:00:00 PM,0,47.2
11/1/2022,1:15:00 PM,0,48.5
11/1/2022,1:30:00 PM,0,49.4
11/1/2022,1:45:00 PM,0,49.4
11/1/2022,2:00:00 PM,0,54.1
11/1/2022,2:15:00 PM,0,48.9
11/1/2022,2:30:00 PM,0,51.2
11/1/2022,2:45:00 PM,0,50.3
11/1/2022,3:00:00 PM,0,49.3
11/1/2022,3:15:00 PM,0,50.1
11/1/2022,3:30:00 PM,0,49.6
11/1/2022,3:45:00 PM,0.01,49.4
11/1/2022,4:00:00 PM,0,49
11/1/2022,4:15:00 PM,0,49.2
11/1/2022,4:30:00 PM,0,48.8
11/1/2022,4:45:00 PM,0,47.6
11/1/2022,5:00:00 PM,0,46.6
11/1/2022,5:15:00 PM,0,44.8
11/1/2022,5:30:00 PM,0,43.7
11/1/2022,5:45:00 PM,0,42.7
11/1/2022,6:00:00 PM,0,42.1
11/1/2022,6:15:00 PM,0,40.6
11/1/2022,6:30:00 PM,0,39.7
11/1/2022,6:45:00 PM,0,39.5
11/1/2022,7:00:00 PM,0,39.2
11/1/2022,7:15:00 PM,0,38.7
11/1/2022,7:30:00 PM,0,38.2
11/1/2022,7:45:00 PM,0,37.6
11/1/2022,8:00:00 PM,0,36.7
11/1/2022,8:15:00 PM,0,37.1
11/1/2022,8:30:00 PM,0,37.4
11/1/2022,8:45:00 PM,0,37.3
11/1/2022,9:00:00 PM,0,37.6
11/1/2022,9:15:00 PM,0,37.1
11/1/2022,9:30:00 PM,0,37.5
11/1/2022,9:45:00 PM,0,37.6
11/1/2022,10:00:00 PM,0,37.4
11/1/2022,10:15:00 PM,0,37.6
11/1/2022,10:30:00 PM,0,37.3
11/1/2022,10:45:00 PM,0,37.1
11/1/2022,11:00:00 PM,0,36.6
11/1/2022,11:15:00 PM,0,35.5
11/1/2022,11:30:00 PM,0,36.1
11/1/2022,11:45:00 PM,0,35.9
11/2/2022,12:00:00 AM,0,35.9
11/2/2022,12:15:00 AM,0,35.4
11/2/2022,12:30:00 AM,0,36.1
11/2/2022,12:45:00 AM,0,35.6
11/2/2022,1:00:00 AM,0,35.6
11/2/2022,1:15:00 AM,0,34.9
11/2/2022,1:30:00 AM,0,34.7
11/2/2022,1:45:00 AM,0,35
11/2/2022,2:00:00 AM,0,34.1
11/2/2022,2:15:00 AM,0,34.3
11/2/2022,2:30:00 AM,0,34
11/2/2022,2:45:00 AM,0,34.2
11/2/2022,3:00:00 AM,0,34.6
11/2/2022,3:15:00 AM,0,34.8
11/2/2022,3:30:00 AM,0,34.6
11/2/2022,3:45:00 AM,0,34.8
11/2/2022,4:00:00 AM,0,34.7
11/2/2022,4:15:00 AM,0,34.8
11/2/2022,4:30:00 AM,0,35
11/2/2022,4:45:00 AM,0,35.2
11/2/2022,5:00:00 AM,0,35.5
11/2/2022,5:15:00 AM,0,35.8
11/2/2022,5:30:00 AM,0,36
11/2/2022,5:45:00 AM,0,36.4
11/2/2022,6:00:00 AM,0,36.5
11/2/2022,6:15:00 AM,0,36.4
11/2/2022,6:30:00 AM,0,36.7
11/2/2022,6:45:00 AM,0,37
11/2/2022,7:00:00 AM,0,36.7
11/2/2022,7:15:00 AM,0,36.6
11/2/2022,7:30:00 AM,0,36.5
11/2/2022,7:45:00 AM,0,36.7
11/2/2022,8:00:00 AM,0,36.8
11/2/2022,8:15:00 AM,0,37.4
11/2/2022,8:30:00 AM,0,37.4
11/2/2022,8:45:00 AM,0,37.4
11/2/2022,9:00:00 AM,0,37.4
11/2/2022,9:15:00 AM,0,37.4
11/2/2022,9:30:00 AM,0,38.2
11/2/2022,9:45:00 AM,0,39.1
11/2/2022,10:00:00 AM,0,39.5
11/2/2022,10:15:00 AM,0,38.9
11/2/2022,10:30:00 AM,0,38.9
11/2/2022,10:45:00 AM,0,39.9
11/2/2022,11:00:00 AM,0,40.9
11/2/2022,11:15:00 AM,0,40
11/2/2022,11:30:00 AM,0,39.6
11/2/2022,11:45:00 AM,0,39.4
11/2/2022,12:00:00 PM,0,39.7
11/2/2022,12:15:00 PM,0,40.1
11/2/2022,12:30:00 PM,0,40.9
11/2/2022,12:45:00 PM,0,41.6
11/2/2022,1:00:00 PM,0,42.6
11/2/2022,1:15:00 PM,0,43.1
11/2/2022,1:30:00 PM,0,44.6
11/2/2022,1:45:00 PM,0,44.3
11/2/2022,2:00:00 PM,0,44.8
11/2/2022,2:15:00 PM,0,44.4
11/2/2022,2:30:00 PM,0,49.2
11/2/2022,2:45:00 PM,0,50.7
11/2/2022,3:00:00 PM,0,47.7
11/2/2022,3:15:00 PM,0,47.3
11/2/2022,3:30:00 PM,0,46.6
